job_id,title,company,location,db_level,title_level,final_level,confidence,needs_review,reason
1,Staff Sales,PT Lajurkarsa Global Industri,Gresik,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
2,Event Staff,Rumah Busana Muslim RiRi,Bekasi,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
4,Staff Sales,Catur Pilar Sejahtera (Althea Eco Bag),Denpasar,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
8,Staf Pajak,YUMMYS MOM N'BABE,Gresik,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
10,Warehouse Coordinator,CV Sinar karunia Mandiri,Tangerang,Supervisor / Coordinator,c-level,c-level,0.8,True,"High confidence from title (80%), overriding database"
11,Staff Administrasi,PT. Integra Dayacipta Grahatama,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
13,Staf RnD Skincare & Kosmetik,YUMMYS MOM N'BABE,Gresik,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
14,Staff Penerbitan,Penerbit Assyifa Learning Center,Subang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
15,Internship Creative Content,YUMMYS MOM N'BABE,Gresik,Junior / Entry Level,intern,intern,0.95,True,"High confidence from title (95%), overriding database"
21,Kepala Cetak,PT Tatanan Elok Karya Asri,Jakarta Pusat,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
37,Accounting Staff,PT LIPWIH SYNERGYLAB ESTETIKA,Bekasi,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
42,Supervisor Finance,PT. Kevin Persada Mandiri,Tangerang,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
43,Staff Engineering Mesin,Frina Lestari Nusantara (FLN),Cikarang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
45,Staff Administrasi,PT. Janaya Rekayasa Cipta,Tangerang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
51,Marketing Manager,HADI PRINTING,Jakarta Barat,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
60,Asisten Apoteker,RSIA ARVITA BUNDA,Sleman,Junior / Entry Level,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
63,Staf Storekeeper,Catur Pilar Sejahtera (Althea Eco Bag),Surabaya,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
64,Management Trainee (Leader Development Program),KOPERASI NUSA RAYA CIPTA,Jakarta Utara,Staff / Officer,lead,lead,0.8,True,"High confidence from title (80%), overriding database"
71,Direct Sales Canvassing,PT Chika Mulya Multimedia,Lombok,Staff / Officer,director,director,0.95,True,"High confidence from title (95%), overriding database"
73,Staff Administrasi,PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
76,Staff Drafter,PT BINTANG TENDA MEMBRAN,Bekasi,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
79,Project Sales Manager,Cahaya Multi Kreasindo,Bandung Kabupaten,Staff / Officer,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
83,Villa Supervisor,FC RESIDENCE BALI,Badung,Supervisor / Coordinator,supervisor,supervisor,0.8,True,"High confidence from title (80%), overriding database"
84,Kepala Cabang,PT. SEJATI GUNA PERSADA,Bukit tinggi,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
85,Manajer FAT,PT Lex and People Consulting,Jakarta Timur,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
90,Asisten guru KB-TK,Yayasan Pendidikan Rumah Belajar Persada,Bekasi,Junior / Entry Level,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
91,Staff Produksi,PT. OHM Electronics Indonesia,Bekasi,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
92,IT Staff,PT. OHM Electronics Indonesia,Bekasi,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
97,HRD F&B Staff,PT GEMILANG KULINER NUSANTARA,Jakarta Timur,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
102,Supervisor Toko,Supra Fashion Textile Cirebon,Cirebon,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
103,Staff Admin,PT Sanpo Sukses Mandiri,Tangerang,Supervisor / Coordinator,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
106,Public Relations Staf,Snefftech,Jakarta Utara,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
107,Staff Accounting,IGB Media,Surabaya,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
108,Staff Admin Modern Trade,PT MAYA MUNCAR,Jakarta Timur,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
109,Staff Komunikasi Pemasaran,HNN Tour & Travel,Bekasi,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
110,Staff Administrasi,PT. Sinar Karunia Agung,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
116,Manager Area,PT. MAYHAM JAYA ABADI,Bogor,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
119,Staff Pastry Kitchen,Bake of Art jkt,Jakarta Utara,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
120,Content Writer Intern,PT PAMEO SOLUSI INDONESIA,Sleman,Junior / Entry Level,intern,intern,0.8,True,"High confidence from title (80%), overriding database"
122,Kepala Gudang,PT. INDOPRIMA GLOBAL MANDIRI,Jakarta Utara,Supervisor / Coordinator,lead,lead,0.95,True,"High confidence from title (95%), overriding database"
124,Staff Admin,PT. LAJU KARYA SAHABAT,Jakarta Utara,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
129,Staff Administrasi,NAJMI Publishing,Depok,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
132,Internship Conten Creator,IGB Media,Surabaya,Junior / Entry Level,intern,intern,0.95,True,"High confidence from title (95%), overriding database"
137,Staff Administration (Front Office),Yayasan Mitra Setia,Semarang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
138,Staff Finishing Percetakan,Venindo Imperial Perkasa,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
141,Staff Customer Service,HNN Tour & Travel,Bekasi,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
142,Staff Accounting,PT. Sinar Karunia Agung,Jakarta Barat,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
143,Junior Website Developer,IGB Media,Surabaya,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
146,Junior Staff Accounting,PT. Empat Teknologi Indonesia,Jakarta Selatan,Junior / Entry Level,junior,junior,0.95,True,"High confidence from title (95%), overriding database"
148,Business Development Associate,Snefftech,Jakarta Utara,Staff / Officer,associate,associate,0.8,True,"High confidence from title (80%), overriding database"
149,Staff Administrasi,HASIL BUMI,Bekasi,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
150,Staff Gudang,CV. MBLUDAK JAYA FOOD,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
151,Internship – General Affair (GA),PT PATRIA ANUGRAH SENTOSA,Kabupaten Tangerang,Staff / Officer,intern,intern,0.95,True,"High confidence from title (95%), overriding database"
153,Staf Admin,Gluck Advertising Studio,Denpasar,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
154,Staff Administrasi Gudang,PT MENTENG INDAH SANTOSA,Bekasi,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
155,Crewing Staff Recruitment Pelayaran,PT. Kru Indonesia Mandiri,Jakarta Utara,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
157,Operasional Staff,CV INDO SUKSES CEMERLANG,Surabaya,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
159,Senior Mekanik Kendaraan Truk,PT. Andalan Solusi Armada Indonesia,Kabupaten Tangerang,Supervisor / Coordinator,senior,senior,0.95,True,"High confidence from title (95%), overriding database"
161,Head Workshop ( Produksi Furniture Interior ),PT TATA REKATAMA BUNINDO,Tangerang,Junior / Entry Level,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
164,Staff Marketing,PT Bahana Samudra Kreasindo,Jakarta Utara,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
170,Retail Business Development Manager,PT Brown Tree International,Jakarta Pusat,Supervisor / Coordinator,manager,Supervisor / Coordinator,0.65,False,"Low confidence from title (65%), using database"
171,Personal Assistant - English,Cognify Digital Technology Pte. Ltd.,Jakarta Barat,Staff / Officer,assistant,assistant,0.8,True,"High confidence from title (80%), overriding database"
184,Graphic Designer Staff,PT Macroscope Berdikari Nusantara,Malang,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
187,Collector,chakra pradja manunggal,Denpasar,Staff / Officer,c-level,c-level,0.8,True,"High confidence from title (80%), overriding database"
189,Asisten Apoteker,Klinik Sahabat Andalan Medika,Malang,Junior / Entry Level,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
194,Manager Operasional,XFRESH INDONESIA,Jakarta Utara,Manager / Assistant Manager,manager,manager,0.95,True,"High confidence from title (95%), overriding database"
197,Supervisor Toko,Keller K,Bandung Kota,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
199,Staf Frontliner,KLINIK PARAMEDIKA,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
205,Helper Staff Produksi Percetakan,PT MITRA KERJA MUDA,Tangerang Selatan,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
209,Staff Admin,PT Gajah Terbang Kreatif,Tangerang Selatan,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
210,Staff Inventory,PT Trias Mitra Jaya Manunggal,Jakarta Barat,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
213,E-Commerce Staff,PT. DAPENG MAOYI INDONESIA,Kabupaten Tangerang,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
214,Staff Drafter,PT INDEX,Sukoharjo,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
215,Staff Costing,PT INDEX,Sukoharjo,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
221,Cook,Rasajo Sambal Neng Manda & Cakalang Uncle Robby,Depok,Junior / Entry Level,c-level,c-level,0.95,True,"High confidence from title (95%), overriding database"
222,Staff Admin Sales,CV Kencana Buana Prima,Jakarta Utara,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
226,Administrasi Staff,PT Danatek Indera Indonesia,Jakarta Pusat,Junior / Entry Level,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
228,Staff Customer Service,PT Permata Selaras Karya Mandiri,Jakarta Selatan,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
231,Staff Accounting,PT Dwi Karya Jaya Makmur,Jakarta Barat,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
235,Restaurant All Rounder Staff,PT. Jusros Food Consulting,Denpasar,Junior / Entry Level,staff,Junior / Entry Level,0.65,False,"Low confidence from title (65%), using database"
242,Staff Marketing Kantor,CV HARIJAYA,Sidoarjo,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
243,Pengawas Lapangan,PT. Vetira Pribadi Kreasi,Jakarta Barat,Supervisor / Coordinator,supervisor,supervisor,0.95,True,"High confidence from title (95%), overriding database"
250,Tax Accounting Staff,PT.HETERO NIAGA GLOBAL,Semarang,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
258,Asisten Apoteker,Apotek Idena,Medan,Staff / Officer,assistant,assistant,0.95,True,"High confidence from title (95%), overriding database"
260,Site Supervisor,PT AZURA INOVASI INDONESIA,Bekasi,Supervisor / Coordinator,supervisor,supervisor,0.8,True,"High confidence from title (80%), overriding database"
262,Central Kitchen Head Dept,Arba Citra Rasa,Jakarta Selatan,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
266,Site Manager / Supervisor,PT Marvelindo Oscar Teknikatama,Remote,Manager / Assistant Manager,manager,manager,0.8,True,"High confidence from title (80%), overriding database"
267,Staff General Affair,PT. Putra Baja Deli,Cilegon,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
268,Staff Pajak,ANDI CONSULTANT,Semarang,Staff / Officer,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
271,Staff HRGA,PT CAKRA MAHADATA BUANA,Bandung Kota,Junior / Entry Level,staff,staff,0.95,True,"High confidence from title (95%), overriding database"
275,Integration Staff,PT. E2Pay Global Utama,Jakarta Selatan,Staff / Officer,staff,staff,0.8,True,"High confidence from title (80%), overriding database"
